작성 안내,노란색 칸(담당자명~비고)을 빠짐없이 채워주세요. 파쇄기·시건장치는 신규 구입한 경우만 작성 / 없으면 해당없음 선택,,,,,,,,,,,
마감일,2026-06-26(금),,,,,,,,,,,
파기 확인서 전송,작성 완료 후 카카오톡 또는 이메일(dasol_seo@fursys.com)로 파기 확인서 파일을 별도 전송해 주세요.,,,,,,,,,,,
,,,,,,,,,,,,
매장명,매장유형,담당자명,연락처,파쇄기 신규 구입 여부 (O / X / 해당없음),파쇄기 구입일 (YYYY-MM-DD),파쇄기 구입금액 (원),시건장치 신규 구입 여부 (O / X / 해당없음),시건장치 구입일 (YYYY-MM-DD),시건장치 구입금액 (원),개인정보 파기 확인서 파일 전송 여부 (O / X),비고,기입완료 (O / X)
송도5,투자형B,,,,,,,,,,,
인천검단,투자형B,,,,,,,,,,,
인천중앙2,B,,,,,,,,,,,
김포5,B,,,,,,,,,,,
부천3,B,,,,,,,,,,,
의정부8,B,,,,,,,,,,,
신세계시흥2,투자형B,,,,,,,,,,,
현대목동,입점BS,,,,,,,,,,,
롯데구리,입점BS,,,,,,,,,,,
롯데인천2,입점BS,,,,,,,,,,,
롯데영등포,입점BS,,,,,,,,,,,
